key,value
data:889611735898656860,"{""st"":1,""cl"":null,""ls"":[""de""],""fc"":[""975666797913190473""]}"
data:889612264318062592,"{""st"":1,""cl"":null,""ls"":[""de""],""fc"":[""947109493056106526""]}"
data:892378538492174356,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:894377902265741332,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[""968059778133790760""]}"
data:899000454787260559,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:901511730214109254,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[]}"
data:901517712197562368,"{""st"":1,""cl"":""en"",""ls"":[],""fc"":[""968059701797457920"",""968059744566784010"",""968059778133790760"",""968147083305566219"",""978995935805841488""]}"
data:901518859079671898,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""968059701797457920"",""968059744566784010"",""968059778133790760"",""968147083305566219"",""978995935805841488""]}"
data:901786473202864149,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""968059701797457920"",""968059744566784010"",""968059778133790760"",""968147083305566219"",""978995935805841488""]}"
data:904500466149367858,"{""st"":1,""cl"":""en"",""ls"":[""en"",""fr"",""ru"",""es""],""fc"":[]}"
data:908934983392051220,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:909716419984363520,"{""st"":1,""cl"":""en"",""ls"":[""fr""],""fc"":[]}"
data:910441537316458551,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:910554127342399523,"{""st"":1,""cl"":""sv"",""ls"":[""ar"",""bn"",""my"",""zh-CN"",""zh-TW"",""en"",""fr"",""hi"",""ko"",""ja"",""id"",""lo"",""ms"",""pt"",""ru"",""es"",""th"",""sv""],""fc"":[]}"
data:913665222273798205,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""913665222273798205""]}"
data:920190682042363906,"{""st"":1,""cl"":""en"",""ls"":[""id"",""en""],""fc"":[]}"
data:922321350247481374,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:924299137019686962,"{""st"":1,""cl"":""en"",""ls"":[""id""],""fc"":[]}"
data:924791210491654164,"{""st"":1,""cl"":""en"",""ls"":[""en""],""fc"":[]}"
data:926216445690519662,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""771728039017054259""]}"
data:929876701780000838,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:932317891842416691,"{""st"":1,""cl"":null,""ls"":[""de""],""fc"":[""932318329186684928""]}"
data:932318329186684928,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""932317891842416691""]}"
data:934903947372666950,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""1001445128415756298"",""1001578768193830942""]}"
data:935918332392144926,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""1001443744698085386"",""1001577521978019920""]}"
data:936108317686784051,"{""st"":1,""cl"":null,""ls"":[""es"",""en""],""fc"":[]}"
data:939262768132026430,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""812578507808964680""]}"
data:939425997508444201,"{""st"":1,""cl"":""en"",""ls"":[""zh-CN"",""en"",""ko"",""ms""],""fc"":[]}"
data:940206324745130044,"{""st"":1,""cl"":null,""ls"":[],""fc"":[""1001445447069618206"",""1001583794094084156""]}"
data:942129642976976937,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""1001435542141026304"",""1001439602625753129""]}"
data:947109493056106526,"{""st"":1,""cl"":null,""ls"":[""en""],""fc"":[""889612264318062592""]}"
